ORIGINAL DATA (n+d),,,,,,,,,,,,
,,,,,,,,,,,,
,lvl1,,,,lvl2,,,,lvl3,,,
,p,r,f,acc,p,r,f,acc,p,r,f,acc
nb,0.61,0.37,0.42,0.649,0.5,0.39,0.37,0.651,0.39,0.32,0.32,0.554
knn,0.42,0.17,0.19,0.353,0.37,0.15,0.18,0.352,0.25,0.11,0.14,0.31
svm,0.43,0.47,0.43,0.65,0.39,0.46,0.4,0.658,0.34,0.34,0.33,0.674
rf,0.47,0.32,0.36,0.658,0.41,0.31,0.33,0.661,0.32,0.25,0.26,0.666
bilstm,0.617,0.555,0.577,0.837,0.48,0.424,0.439,0.824,0.323,0.275,0.287,0.742
cnn,0.666,0.55,0.584,0.843,0.509,0.405,0.435,0.825,0.31,0.249,0.263,0.744
han,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ORIGINAL DATA excl. desc empty,,,,,,,,,,,,
(generally worse results),,,,,,,,,,,,
